,data,name,r,n,thread,part,time
1173,simden,fenwick,299.06,10000000,60,density computation,10.748366666666668
1176,simden,fenwick,448.62,10000000,60,density computation,16.329833333333333
1179,simden,fenwick,673.01,10000000,60,density computation,24.280166666666663
1182,simden,fenwick,1009.582,10000000,60,density computation,33.987966666666665
1185,simden,fenwick,1514.3791,10000000,60,density computation,45.89723333333333
1188,simden,fenwick,2271.56871,10000000,60,density computation,53.9538
1191,simden,fenwick,3407.353085,10000000,60,density computation,58.34283333333334
1194,simden,fenwick,5111.0296288,10000000,60,density computation,60.805299999999995
1251,simden,priority,199.39,10000000,60,density computation,6.82695
1254,simden,priority,299.06,10000000,60,density computation,10.950366666666667
1257,simden,priority,448.62,10000000,60,density computation,16.136366666666664
1260,simden,priority,673.01,10000000,60,density computation,24.0401
1263,simden,priority,1009.582,10000000,60,density computation,34.645466666666664
1266,simden,priority,1514.3791,10000000,60,density computation,45.065733333333334
1269,simden,priority,2271.56871,10000000,60,density computation,53.71593333333333
1272,simden,priority,3407.353085,10000000,60,density computation,57.42083333333333
1275,simden,priority,5111.0296288,10000000,60,density computation,60.58323333333334
1332,simden,static,199.39,10000000,60,density computation,6.8165000000000004
1335,simden,static,299.06,10000000,60,density computation,11.0122
1338,simden,static,448.62,10000000,60,density computation,16.143
1341,simden,static,673.01,10000000,60,density computation,24.7599
1344,simden,static,1009.582,10000000,60,density computation,34.0785
1347,simden,static,1514.3791,10000000,60,density computation,45.69559999999999
1350,simden,static,2271.56871,10000000,60,density computation,53.90193333333334
1353,simden,static,3407.353085,10000000,60,density computation,57.737066666666664
1356,simden,static,5111.0296288,10000000,60,density computation,61.416500000000006
1413,uniform,fenwick,199.39,10000000,60,density computation,46.83463333333333
1416,uniform,fenwick,299.06,10000000,60,density computation,68.54096666666668
1419,uniform,fenwick,448.62,10000000,60,density computation,99.08733333333333
1422,uniform,fenwick,673.01,10000000,60,density computation,141.3166666666667
1425,uniform,fenwick,1009.582,10000000,60,density computation,195.70133333333334
1428,uniform,fenwick,1514.3791,10000000,60,density computation,259.50233333333335
1431,uniform,fenwick,2271.56871,10000000,60,density computation,318.91433333333333
1434,uniform,fenwick,3407.353085,10000000,60,density computation,332.93466666666666
1437,uniform,fenwick,5111.0296288,10000000,60,density computation,219.43966666666665
1494,uniform,priority,199.39,10000000,60,density computation,46.94273333333334
1497,uniform,priority,299.06,10000000,60,density computation,68.60783333333333
1500,uniform,priority,448.62,10000000,60,density computation,99.52893333333333
1503,uniform,priority,673.01,10000000,60,density computation,141.484
1506,uniform,priority,1009.582,10000000,60,density computation,196.573
1509,uniform,priority,1514.3791,10000000,60,density computation,260.71433333333334
1512,uniform,priority,2271.56871,10000000,60,density computation,320.39500000000004
1515,uniform,priority,3407.353085,10000000,60,density computation,334.32
1518,uniform,priority,5111.0296288,10000000,60,density computation,220.11833333333334
1575,uniform,static,199.39,10000000,60,density computation,46.976200000000006
1578,uniform,static,299.06,10000000,60,density computation,68.8168
1581,uniform,static,448.62,10000000,60,density computation,99.28373333333333
1584,uniform,static,673.01,10000000,60,density computation,141.813
1587,uniform,static,1009.582,10000000,60,density computation,197.657
1590,uniform,static,1514.3791,10000000,60,density computation,261.3066666666667
1593,uniform,static,2271.56871,10000000,60,density computation,318.617
1596,uniform,static,3407.353085,10000000,60,density computation,335.26433333333335
1599,uniform,static,5111.0296288,10000000,60,density computation,219.0726666666667
1656,varden,fenwick,199.39,10000000,60,density computation,4.731543333333334
1659,varden,fenwick,299.06,10000000,60,density computation,6.96547
1662,varden,fenwick,448.62,10000000,60,density computation,10.5503
1665,varden,fenwick,673.01,10000000,60,density computation,15.296700000000001
1668,varden,fenwick,1009.582,10000000,60,density computation,21.64906666666667
1671,varden,fenwick,1514.3791,10000000,60,density computation,27.4944
1674,varden,fenwick,2271.56871,10000000,60,density computation,34.7596
1677,varden,fenwick,3407.353085,10000000,60,density computation,43.145833333333336
1680,varden,fenwick,5111.0296288,10000000,60,density computation,50.5479
1737,varden,priority,199.39,10000000,60,density computation,4.812243333333334
1740,varden,priority,299.06,10000000,60,density computation,7.0780400000000006
1743,varden,priority,448.62,10000000,60,density computation,10.2765
1746,varden,priority,673.01,10000000,60,density computation,15.659566666666665
1749,varden,priority,1009.582,10000000,60,density computation,21.289199999999997
