,data,name,r,n,thread,part,time
1171,simden,fenwick,199.39,10000000,60,dependent point finding,5.708946666666667
1174,simden,fenwick,299.06,10000000,60,dependent point finding,6.11216
1177,simden,fenwick,448.62,10000000,60,dependent point finding,7.365200000000001
1180,simden,fenwick,673.01,10000000,60,dependent point finding,6.886710000000001
1183,simden,fenwick,1009.582,10000000,60,dependent point finding,6.685723333333333
1186,simden,fenwick,1514.3791,10000000,60,dependent point finding,6.804376666666666
1189,simden,fenwick,2271.56871,10000000,60,dependent point finding,6.819746666666667
1192,simden,fenwick,3407.353085,10000000,60,dependent point finding,5.36855
1195,simden,fenwick,5111.0296288,10000000,60,dependent point finding,5.746803333333333
1252,simden,priority,199.39,10000000,60,dependent point finding,1.9190833333333333
1255,simden,priority,299.06,10000000,60,dependent point finding,2.1321766666666666
1258,simden,priority,448.62,10000000,60,dependent point finding,2.1827666666666667
1261,simden,priority,673.01,10000000,60,dependent point finding,2.21231
1264,simden,priority,1009.582,10000000,60,dependent point finding,2.2120166666666665
1267,simden,priority,1514.3791,10000000,60,dependent point finding,2.201826666666667
1270,simden,priority,2271.56871,10000000,60,dependent point finding,2.2285299999999997
1273,simden,priority,3407.353085,10000000,60,dependent point finding,1.6254499999999998
1276,simden,priority,5111.0296288,10000000,60,dependent point finding,1.8441633333333332
1333,simden,static,199.39,10000000,60,dependent point finding,12.898766666666667
1336,simden,static,299.06,10000000,60,dependent point finding,12.424566666666665
1339,simden,static,448.62,10000000,60,dependent point finding,11.466733333333332
1342,simden,static,673.01,10000000,60,dependent point finding,10.250866666666667
1345,simden,static,1009.582,10000000,60,dependent point finding,9.891223333333334
1348,simden,static,1514.3791,10000000,60,dependent point finding,9.426063333333333
1351,simden,static,2271.56871,10000000,60,dependent point finding,9.040356666666668
1354,simden,static,3407.353085,10000000,60,dependent point finding,8.545043333333334
1357,simden,static,5111.0296288,10000000,60,dependent point finding,8.338416666666667
1414,uniform,fenwick,199.39,10000000,60,dependent point finding,7.380686666666667
1417,uniform,fenwick,299.06,10000000,60,dependent point finding,7.207743333333333
1420,uniform,fenwick,448.62,10000000,60,dependent point finding,6.1852599999999995
1423,uniform,fenwick,673.01,10000000,60,dependent point finding,5.368053333333333
1426,uniform,fenwick,1009.582,10000000,60,dependent point finding,5.360456666666667
1429,uniform,fenwick,1514.3791,10000000,60,dependent point finding,5.32003
1432,uniform,fenwick,2271.56871,10000000,60,dependent point finding,5.31746
1435,uniform,fenwick,3407.353085,10000000,60,dependent point finding,5.056566666666666
1438,uniform,fenwick,5111.0296288,10000000,60,dependent point finding,5.37087
1495,uniform,priority,199.39,10000000,60,dependent point finding,1.9139333333333333
1498,uniform,priority,299.06,10000000,60,dependent point finding,1.6329833333333335
1501,uniform,priority,448.62,10000000,60,dependent point finding,1.32798
1504,uniform,priority,673.01,10000000,60,dependent point finding,1.2955966666666667
1507,uniform,priority,1009.582,10000000,60,dependent point finding,1.2626366666666666
1510,uniform,priority,1514.3791,10000000,60,dependent point finding,1.23504
1513,uniform,priority,2271.56871,10000000,60,dependent point finding,1.17928
1516,uniform,priority,3407.353085,10000000,60,dependent point finding,1.1714566666666666
1519,uniform,priority,5111.0296288,10000000,60,dependent point finding,1.1661299999999999
1576,uniform,static,199.39,10000000,60,dependent point finding,18.264266666666668
1579,uniform,static,299.06,10000000,60,dependent point finding,16.5325
1582,uniform,static,448.62,10000000,60,dependent point finding,14.1946
1585,uniform,static,673.01,10000000,60,dependent point finding,11.988900000000001
1588,uniform,static,1009.582,10000000,60,dependent point finding,10.0212
1591,uniform,static,1514.3791,10000000,60,dependent point finding,8.42682
1594,uniform,static,2271.56871,10000000,60,dependent point finding,7.822326666666666
1597,uniform,static,3407.353085,10000000,60,dependent point finding,7.672023333333333
1600,uniform,static,5111.0296288,10000000,60,dependent point finding,7.860763333333334
1657,varden,fenwick,199.39,10000000,60,dependent point finding,4.9149400000000005
1660,varden,fenwick,299.06,10000000,60,dependent point finding,4.918003333333334
1663,varden,fenwick,448.62,10000000,60,dependent point finding,5.40642
1666,varden,fenwick,673.01,10000000,60,dependent point finding,7.272133333333333
1669,varden,fenwick,1009.582,10000000,60,dependent point finding,7.395910000000001
1672,varden,fenwick,1514.3791,10000000,60,dependent point finding,7.22699
1675,varden,fenwick,2271.56871,10000000,60,dependent point finding,6.948573333333333
1678,varden,fenwick,3407.353085,10000000,60,dependent point finding,6.168489999999999
1681,varden,fenwick,5111.0296288,10000000,60,dependent point finding,6.972006666666666
1738,varden,priority,199.39,10000000,60,dependent point finding,1.8102966666666667
1741,varden,priority,299.06,10000000,60,dependent point finding,1.9248066666666668
1744,varden,priority,448.62,10000000,60,dependent point finding,1.59063
1747,varden,priority,673.01,10000000,60,dependent point finding,2.017106666666667
1750,varden,priority,1009.582,10000000,60,dependent point finding,2.1074699999999997
1753,varden,priority,1514.3791,10000000,60,dependent point finding,2.0681933333333333
1756,varden,priority,2271.56871,10000000,60,dependent point finding,2.07387
1759,varden,priority,3407.353085,10000000,60,dependent point finding,1.9226366666666668
1762,varden,priority,5111.0296288,10000000,60,dependent point finding,1.9493566666666666
1819,varden,static,199.39,10000000,60,dependent point finding,11.726999999999999
1822,varden,static,299.06,10000000,60,dependent point finding,11.189433333333334
1825,varden,static,448.62,10000000,60,dependent point finding,10.844066666666668
1828,varden,static,673.01,10000000,60,dependent point finding,11.027533333333333
1831,varden,static,1009.582,10000000,60,dependent point finding,10.678400000000002
1834,varden,static,1514.3791,10000000,60,dependent point finding,9.905500000000002
1837,varden,static,2271.56871,10000000,60,dependent point finding,9.247203333333333
1840,varden,static,3407.353085,10000000,60,dependent point finding,8.836226666666667
1843,varden,static,5111.0296288,10000000,60,dependent point finding,8.496443333333334
